,city,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,country
349,Pacatuba,-3.98,-38.62,79.0,78,0,14.99,BR
350,Sinnamary,5.38,-52.95,80.74,81,68,14.61,GF
351,Pathein,16.78,94.73,78.37,92,100,4.92,MM
352,Dwārka,22.24,68.97,81.28,83,100,18.88,IN
353,Miles City,46.41,-105.84,62.6,39,1,8.05,US
354,São Gabriel da Cachoeira,-0.13,-67.09,76.33,81,100,2.04,BR
355,Assiut,27.18,31.18,84.2,28,0,11.41,EG
356,Venado Tuerto,-33.75,-61.97,52.0,48,3,1.99,AR
357,Ngunguru,-35.62,174.5,59.0,3,39,6.87,NZ
358,Fendou,46.65,124.87,65.53,87,100,13.82,CN
359,Saint-François,46.42,3.91,57.2,87,71,1.12,FR
360,Gomel,52.43,30.98,73.4,64,0,11.18,BY
361,Clyde River,70.47,-68.59,46.4,93,1,13.87,CA
362,Kumul,42.8,93.45,66.4,26,0,9.53,CN
363,Lakselv,70.05,24.97,32.0,79,79,8.05,NO
364,La Ronge,55.1,-105.28,48.2,87,90,9.17,CA
365,Longview,32.5,-94.74,91.4,55,20,10.29,US
366,Campbell River,50.02,-125.24,57.2,82,90,3.36,CA
367,Blackwater,-23.58,148.88,67.33,57,0,5.14,AU
368,Ljungby,56.83,13.94,51.8,100,0,4.7,SE
369,Basco,20.45,121.97,83.98,80,36,16.44,PH
370,Tura,25.52,90.22,74.82,92,100,4.52,IN
371,Tocopilla,-22.09,-70.2,59.65,71,100,7.38,CL
372,Mombetsu,44.35,143.35,54.81,80,100,13.56,JP
373,Tomisato,35.73,140.34,79.0,94,75,9.17,JP
374,Fuxin,42.02,121.66,72.41,72,0,4.85,CN
375,Jennings,38.72,-90.26,82.4,48,75,9.17,US
376,Mabaruma,8.2,-59.78,77.02,95,99,3.53,GY
377,Granadilla de Abona,28.12,-16.58,73.4,56,20,10.29,ES
378,Sulangan,11.14,123.72,83.97,74,74,9.15,PH
379,Raton,36.9,-104.44,80.6,21,90,18.34,US
380,Ugoofaaru,5.67,73.0,82.42,72,19,8.46,MV
381,Rafai,4.95,23.92,69.89,91,100,1.34,CF
382,Irbit,57.67,63.07,58.96,95,60,6.4,RU
383,Lata,40.16,-8.33,62.01,72,0,2.73,PT
384,Yamada,39.47,141.95,69.58,91,100,9.17,JP
385,Baghdad,33.34,44.4,89.6,29,0,6.93,IQ
386,Mildura,-34.2,142.15,43.0,93,0,6.93,AU
387,Amahai,-3.33,128.92,84.0,92,63,1.01,ID
388,Bayburt,40.26,40.23,59.58,45,0,0.34,TR
389,Florø,61.6,5.03,51.8,66,0,10.29,NO
390,Nouakchott,18.09,-15.98,84.2,66,32,11.41,MR
391,Arrondissement d'Arcachon,44.59,-1.05,57.2,82,75,2.73,FR
392,Tsnori,41.62,45.97,73.4,64,20,9.17,GE
